,Ba,Sr,Zn,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S
AZ01,0.022,0.021,0.003,0.378,0.022,0.007,0.001,0.066,22.774,7.718,0.001,0.088,1.255,7.316,1.363
AZ02,0.012,0.015,0.005,2.255,0.03,0.013,0.011,0.273,6.517,6.822,1.643,0.134,8.609,3.417,3.212
AZ03,0.02,0.049,0.001,0.39,0.001,0.01,0.001,0.055,10.238,0.475,0.001,0.001,2.241,19.7,1.668
AZ04,0.016,0.06,0.001,1.301,0.015,0.018,0.013,0.135,13.894,0.687,0.522,0.001,4.001,9.631,4.601
AZ05,0.033,0.025,0.009,4.174,0.066,0.023,0.019,0.442,9.723,1.766,2.715,0.208,13.769,0.498,0.348
AZ06,0.034,0.03,0.003,1.803,0.042,0.015,0.006,0.187,18.831,1.486,0.001,0.001,1.332,15.498,2.546
AZ07,0.01,0.111,0.002,0.131,0.001,0.009,0.001,0.031,16.397,0.483,0.001,0.001,0.381,16.411,9.887
AZ08,0.015,0.136,0.001,0.177,0.001,0.01,0.001,0.034,10.813,2.153,0.001,0.001,0.821,18.939,6.549
AZ09,0.02,0.123,0.002,0.156,0.001,0.011,0.001,0.022,4.646,10.735,0.001,0.001,0.373,21.293,2.267
AZ10,0.019,0.074,0.001,0.71,0.018,0.014,0.007,0.072,14.374,1.004,0.001,0.001,2.006,13.643,1.739
AZ11,0.015,0.122,0.001,0.207,0.001,0.009,0.001,0.04,13.863,5.503,0.001,0.001,0.724,12.241,8.22
AZ12,0.027,0.022,0.004,0.883,0.028,0.012,0.005,0.132,21.301,1.571,0.001,0.001,1.195,14.637,0.565
AZ13,0.012,0.018,0.001,1.961,0.001,0.013,0.009,0.289,16.678,0.406,1.195,0.001,5.523,0.359,19.019
AZ14c,0.021,0.117,0.002,0.896,0.012,0.014,0.001,0.086,11.742,0.916,0.001,0.001,1.579,17.409,6.518
AZ14a,0.017,0.135,0.001,0.481,0.001,0.007,0.001,0.08,21.412,0.594,0.372,0.076,2.014,1.38,15.564
AZ14b,0.027,0.048,0.005,1.655,0.026,0.015,0.008,0.314,32.693,1.044,0.54,0.206,2.788,0.501,6.214
AZ15,0.016,0.161,0.001,0.217,0.001,0.009,0.001,0.053,23.098,0.458,0.001,0.001,1.211,3.574,18.365
AZ16,0.013,0.093,0.001,0.691,0.017,0.001,0.001,0.096,12.373,12.148,0.001,0.001,1.938,2.756,20.128
AZ16b,0.015,0.162,0.001,0.469,0.001,0.009,0.001,0.07,17.791,2.158,0.001,0.001,1.426,4.36,19.189
AZ17,0.019,0.108,0.001,0.325,0.001,0.001,0.001,0.04,7.07,11.017,0.001,0.001,0.933,13.748,15.948
AZ18,0.009,0.132,0.001,0.452,0.001,0.006,0.001,0.049,14.307,0.548,0.001,0.001,0.489,13.459,12.999
AZ19,0.103,0.022,0.001,0.508,0.019,0.008,0.001,0.058,9.449,1.135,0.001,0.001,3.373,21.58,0.671
AZ20,0.151,0.022,0.001,0.541,0.016,0.009,0.001,0.079,6.201,2.788,0.001,0.001,5.704,18.965,1.183
AZ21,0.015,0.059,0.001,0.167,0.001,0.001,0.001,0.036,18.082,0.986,0.001,0.001,0.892,8.942,16.778
AZ22,0.02,0.025,0.004,1.614,0.042,0.015,0.011,0.338,39.455,0.203,0.48,0.159,2.363,0.194,0.568
AZ23,0.021,0.043,0.001,0.459,0.001,0.01,0.003,0.073,9.389,1.148,0.001,0.001,2.478,15.644,1.122
AZ23b,0.012,0.03,0.003,1.34,0.019,0.011,0.008,0.23,33.51,0.31,0.619,0.116,2.577,0.317,3.421
AZ24,0.014,0.143,0.001,0.69,0.001,0.009,0.004,0.1,21.353,0.288,0.352,0.001,2.541,0.214,20.07
AZ25,0.008,0.124,0.001,0.379,0.001,0.001,0.001,0.053,22.697,0.154,0.001,0.061,1.561,0.095,19.874
AZ25b,0.001,0.037,0.001,1.345,0.016,0.014,0.007,0.289,36.385,0.242,0.544,0.112,2.036,0.264,5.312
AZ26,0.014,0.133,0.001,0.321,0.001,0.001,0.001,0.065,24.358,0.189,0.428,0.068,1.371,0.259,19.153
AZ27,0.019,0.148,0.001,0.287,0.001,0.001,0.001,0.043,20.867,0.262,0.001,0.001,0.82,5.886,16.724
AZ28,0.014,0.127,0.001,0.22,0.001,0.008,0.001,0.055,23.615,0.191,0.001,0.001,1.393,0.189,19.774
AZ29,0.016,0.114,0.002,0.174,0.001,0.008,0.001,0.027,11.541,6.337,0.001,0.001,0.404,17.675,5.536
AZ30,0.001,0.14,0.001,0.264,0.001,0.008,0.001,0.06,27.348,0.16,0.001,0.001,1.256,0.142,20.107
